index,ID,X1,X2,X3,X4,X5,probability
50,K#0050,0.318,0.163,0.858,0.269,0.408,0.1075
51,K#0051,1.257,0.844,2.886,3.085,0.16,1.0
52,K#0052,1.112,2.059,6.821,0.372,0.618,1.0
53,K#0053,0.659,0.908,1.67,0.162,2.214,0.422
54,K#0054,0.479,0.348,0.36,0.263,0.134,0.001875
55,K#0055,0.758,1.755,1.366,2.75,1.044,0.904125
56,K#0056,3.748,3.577,1.997,1.168,0.42,0.99975
57,K#0057,3.989,0.522,0.305,0.217,2.708,0.0
58,K#0058,3.182,1.352,4.457,1.136,8.064,1.0
59,K#0059,9.175,3.611,1.273,2.888,0.128,0.613875
60,K#0060,1.23,0.795,1.099,0.473,0.847,0.298875
61,K#0061,1.205,1.144,0.195,1.634,0.367,0.000625
62,K#0062,0.688,3.073,0.641,0.283,2.333,0.026875
63,K#0063,1.252,4.438,0.321,0.363,0.741,0.0005
64,K#0064,3.971,1.209,0.078,0.451,2.311,0.0
65,K#0065,1.053,0.843,2.525,0.464,1.597,0.998375
66,K#0066,2.483,10.044,0.355,12.405,0.167,1.0
67,K#0067,1.101,0.31,5.24,1.669,1.045,1.0
68,K#0068,0.45,0.863,0.792,0.544,12.921,0.023125
69,K#0069,0.754,1.848,0.403,14.171,0.827,0.999875
70,K#0070,0.621,0.686,1.889,2.032,0.984,0.997625
71,K#0071,1.055,0.33,1.694,1.699,0.942,0.936
72,K#0072,0.349,2.801,0.369,1.045,4.729,0.048375
73,K#0073,1.062,5.715,1.264,1.741,1.627,0.98125
74,K#0074,0.798,1.935,0.171,0.905,2.366,0.000125
